site_name,conversion_rate_pct,avg_session_duration_sec,pages_per_session,user_satisfaction_10,mobile_performance_100,assortment_completeness_pct,page_load_time_sec,bounce_rate_pct,cart_abandonment_pct,error_rate_pct,support_first_response_min,delivery_cost_uah,return_rate_pct,complaints_per_1000_orders,checkout_steps,security_incidents_per_year
ElectroHub,2.8,280,5.4,7.8,84,88,3.5,42,61,1.9,18,85,6.2,14,6,1
TechNova,3.6,340,6.2,8.5,91,92,2.4,34,52,1.2,9,70,4.1,8,4,0
SmartCart,2.4,250,4.9,7.4,79,80,4.1,49,66,2.8,25,95,7.8,20,7,2
PixelMarket,3.1,310,5.8,8.1,88,86,2.9,38,55,1.5,12,75,4.8,10,5,1
ElectroZone,2.7,270,5.2,7.6,82,84,3.6,44,60,2.1,17,82,5.9,15,6,1
MegaBuy,2.9,300,5.5,7.9,86,89,3.1,40,58,1.7,14,78,5.1,11,5,1
NovaShop,3.3,325,6.0,8.3,90,90,2.7,36,54,1.4,11,74,4.5,9,4,0
DeviceStore,2.5,260,5.1,7.5,80,83,3.8,46,63,2.3,19,88,6.6,17,6,2
PrimeTech,3.8,355,6.4,8.8,94,95,2.2,32,50,1.1,8,68,3.9,7,4,0
HomeDigital,2.6,275,5.0,7.7,81,85,3.4,43,59,2.0,16,80,5.7,13,6,1
CyberMall,3.0,295,5.6,8.0,87,87,3.0,39,57,1.6,13,77,5.0,12,5,1
ClickMarket,2.3,240,4.7,7.2,76,78,4.4,52,68,3.0,28,98,8.1,22,7,3
