,Station 22 - Germantown/Kingsview,Station 23 - Rockville,Station R1 - Bethesda / Chevy Chase Rescue,Station 16 - Silver Spring,Station 13 - Damascus,Station 14 - Upper Montgomery,Station 25 - Kensington,Station 24 - Hillandale,Station 33 - Rockville,Station 34 - Germantown/Milestone,Station  2 - Takoma Park,Station  4 - Sandy Spring,Station  3 - Rockville,Station 40 - Sandy Spring,Station 29 - Germantown,Station  9 - Hyattstown,Station 10 - Cabin John,Station R2 - Wheaton Rescue,Station  5 - Kensington,Station  1 - Silver Spring,Station  6 - Bethesda,Station 31 - Rockville,Station 17 - Laytonsville,Station 15 - Burtonsville,Station 19 - Silver Spring,Station  7 - Chevy Chase,Station 26 - Bethesda,Station  8 - Gaithersburg,Station 20 - Bethesda,Station 21 - Kensington,Station 28 - Gaithersburg,Station 27 - Public Safety Training Academy,Station 30 - Cabin John,Station 32 - Travilah,Station 12 - Hillandale,Station 35 - Clarksburg,Station 11 - Glen Echo,Station 18 - Kensington
Station 22 - Germantown/Kingsview,0.0,17.998,24.635,28.816,15.694,11.23,20.114,26.192,15.245,5.012,31.492,22.227,14.151,18.808,3.14,13.414,21.241,23.807,23.167,29.222,26.46,5.832,13.268,29.981,26.921,26.119,20.1,6.471,23.076,19.946,11.933,9.287,17.714,10.63,29.825,7.865,26.201,23.306
Station 23 - Rockville,17.998,0.0,7.8,11.042,26.525,28.362,5.94,10.475,6.353,18.369,13.501,13.105,3.987,9.54,18.526,29.626,7.953,6.324,5.169,11.233,9.536,12.731,16.521,15.122,8.924,8.576,4.397,13.034,6.194,2.638,10.097,13.834,10.013,7.497,12.506,23.637,10.669,6.262
Station R1 - Bethesda / Chevy Chase Rescue,24.635,7.8,0.0,8.813,34.319,34.018,11.662,12.583,9.843,25.77,8.42,18.927,11.552,16.2,25.676,37.011,5.308,7.663,4.958,6.568,1.833,18.917,24.279,16.799,5.648,2.27,4.539,20.471,1.635,7.919,17.897,21.594,10.391,14.089,11.258,30.99,3.438,8.62
Station 16 - Silver Spring,28.816,11.042,8.813,0.0,34.694,39.387,9.889,6.189,16.42,28.441,4.413,14.876,14.679,14.025,28.943,39.477,13.806,5.047,6.145,3.412,8.56,23.748,24.068,8.933,3.172,6.712,11.311,23.247,9.039,8.871,18.888,22.991,18.468,18.51,2.51,33.658,11.561,5.762
Station 13 - Damascus,15.694,26.525,34.319,34.694,0.0,21.55,24.828,29.668,27.262,11.012,38.597,21.762,22.866,20.843,12.6,9.505,32.869,30.008,30.856,36.524,36.058,19.61,10.631,31.524,34.141,34.95,30.331,14.892,32.699,27.095,16.46,12.784,31.007,21.679,34.559,9.089,36.949,29.067
Station 14 - Upper Montgomery,11.23,28.362,34.018,39.387,21.55,0.0,31.186,37.265,24.179,14.549,41.607,33.395,24.787,30.037,12.832,13.906,29.712,34.485,33.464,39.358,35.766,15.639,23.506,41.168,37.183,35.813,29.56,17.691,32.6,30.579,23.154,20.198,25.116,20.877,40.622,12.679,34.858,34.1
Station 25 - Kensington,20.114,5.94,11.662,9.889,24.828,31.186,0.0,6.082,12.047,18.951,13.807,7.416,7.084,4.647,19.702,29.764,13.567,5.267,6.93,11.824,12.955,15.916,14.218,10.211,9.518,11.286,9.875,14.006,10.402,3.98,9.15,13.235,15.935,11.068,10.125,24.065,15.036,4.26
Station 24 - Hillandale,26.192,10.475,12.583,6.189,29.668,37.265,6.082,0.0,16.8,24.842,10.598,8.839,12.867,8.858,25.695,35.401,16.393,5.1,7.917,9.353,13.119,21.92,19.103,4.68,7.859,11.133,12.985,20.029,12.004,7.842,14.959,18.946,20.034,16.927,5.058,29.853,15.913,4.49
Station 33 - Rockville,15.245,6.353,9.843,16.42,27.262,24.179,12.047,16.8,0.0,17.325,17.753,18.65,6.121,14.709,16.8,28.252,6.014,12.307,10.287,15.583,11.589,9.416,18.676,21.463,13.676,11.725,5.469,12.432,8.476,8.964,12.256,14.74,4.382,5.583,18.281,22.285,10.974,12.463
Station 34 - Germantown/Milestone,5.012,18.369,25.77,28.441,11.012,14.549,18.951,24.842,17.325,0.0,31.663,19.402,14.386,16.565,1.961,11.262,23.26,23.406,23.367,29.425,27.595,8.751,8.961,28.096,27.034,26.902,21.378,5.335,24.144,19.783,9.887,6.099,20.606,11.911,29.043,5.271,27.871,22.709
